分局,派出所,警編號,位置
新興分局,中山所,KC98A0015,中山一路與中正四路美麗島站東側向西104維
新興分局,中山所,KC98A0016,中山一路與中正四路美麗島站東側向西104維
新興分局,中山所,KC98A0017,中山一路與中正四路美麗島站西側向東104維
新興分局,中山所,KC98A0018,中山一路與中正四路美麗島站西側向東104維
新興分局,中山所,KC98A0019,中山一路與中正四路美麗島站南側向北104維
新興分局,中山所,KC98A0020,中山一路與中正四路美麗島站南側向北104維
新興分局,中山所,KC98A0021,中山一路與中正四路美麗島站北側向南
新興分局,中山所,KC98A0022,中山一路與中正四路美麗島站北側向南
新興分局,中山所,KC98C0049,中正四路與自立二路向北
新興分局,中山所,KC98C0054,中山一路與大同一路口向東
新興分局,中山所,KC98C0314,南華路與六合一路向南
新興分局,中山所,KC98C0053,中正三路與南台路向北104蘇維
新興分局,中山所,KC98C0312,南華路與六和一路向北
新興分局,中山所,KC98C0313,南華路與六和一路向西
新興分局,中山所,KC98E0451,林森一路與林森一路97巷口向西104蘇維
新興分局,中山所,KC98E0452,南華一路與林森一路97巷口向東
新興分局,中山所,KC98E0455,林森一路123巷1號旁向西
新興分局,中山所,KC98E0457,南華一路44號旁向南
新興分局,中山所,KC98E0458,南華路與新興路路口向南104蘇維
新興分局,中山所,KC98E0459,大同一路126之4號向東
新興分局,中山所,KC98E0461,中山一路18號之1向東
新興分局,中山所,KC98E0462,中山一路22之1號前南往北
新興分局,中山所,KC98E0465,自立一路與七賢二路口向北
新興分局,中山所,KC98E0467,南台路與自立一路6巷口向西
新興分局,中山所,KC98E0468,南台路153號向西
新興分局,中山所,KC98E0469,自立一路與南台橫路口向東
新興分局,中山所,KC98E0470,河南二路與繼光街口向東
新興分局,中山所,KC98E0471,南台路165號向西
新興分局,中山所,KC98E0472,自立一路與河南路口向東
新興分局,中山所,KC98E0473,八德二路與南台口向南
新興分局,中山所,KC98E0474,八德二路與同愛街口向西
新興分局,中山所,KC98E0475,八德二路與南台路口向北
新興分局,中山所,KC98E0476,同愛街與同愛街35巷口東往西
新興分局,中山所,KC98E0477,自立一路62號旁向東
新興分局,中山所,KC98E0478,河南二路與同愛街口向西
新興分局,中山所,KC98E0479,七賢二路與自立一路口向西104維
新興分局,中山所,KC98E0480,河南路與同愛街口向南
新興分局,中山所,KC98E0481,同愛街46號旁向東
新興分局,中山所,KC98E0482,民主橫路與八德二路口向南
新興分局,中山所,KC98E0483,八德二路4號向西104維
新興分局,中山所,KC98E0485,七賢二路與同愛街口向北
新興分局,中山所,KC98E0486,八德二路與同愛街口向南
新興分局,中山所,KC98E0490,南台橫路與南台路口向東
新興分局,中山所,KC98E0493,同愛街27巷與同愛街口向西
新興分局,中山所,KC98E0494,七賢二路與南台路口向北
新興分局,中山所,KC98E0495,七賢二路8巷向南
新興分局,中山所,KC98E0497,林森一路與林森一路167巷口向西104蘇維
新興分局,中山所,KC98E0498,林森一路與大同一路口向西
新興分局,中山所,KC98E0499,大同一路與中山一路口向東104蘇維
新興分局,中山所,KC98E0501,南華路80之3號向南104維
新興分局,中山所,KC98E0502,南華路與林森一路145巷向東
新興分局,中山所,KC98E0503,林森一路145巷41之4號向東
新興分局,中山所,KC98E0504,林森一路與林森一路145巷口向西
新興分局,中山所,KC98E0505,林森一路與復橫一路口向西
新興分局,中山所,KC98E0506,南華路30之1號旁向東
新興分局,中山所,KC98E0507,林森一路與林森一路161巷口向西104維
新興分局,中山所,KC98E0508,林森一路161巷55號向東
新興分局,中山所,KC98E0509,林森一路與球庭路口向西
新興分局,中山所,KC98E0510,南華路54號向東
新興分局,中山所,KC98E0511,中正三路與南華路口向東
新興分局,中山所,KC98E0512,大同一路與中山一路口向北
新興分局,中山所,KC98E0513,南台路62巷1號向東
新興分局,中山所,KC98E0514,中山橫路21號旁向南
新興分局,中山所,KC98E0515,中山橫路17號向西
新興分局,中山所,KC98E0516,中山橫路51號旁向東
新興分局,中山所,KC98E0518,中山橫路73號旁向東
新興分局,中山所,KC98E0519,自立二路76號旁向東
新興分局,中山所,KC98E0520,南台路59號旁向西
新興分局,中山所,KC98E0521,南台路73巷2號向西
新興分局,中山所,KC98E0522,南台路73巷28號向東
新興分局,中山所,KC98E0523,南台路74巷1號向東
新興分局,中山所,KC98E0524,南台路74巷46號對面向西
新興分局,中山所,KC98E0525,南台路78號向南
新興分局,中山所,KC98E0526,南台路70號之1向南
新興分局,中山所,KC98E0527,南台路64號向北
新興分局,中山所,KC98E0528,中正四路與南台路口向北
新興分局,中山所,KC98E0529,大同一路156號向西
新興分局,中山所,KC98E0530,大同一路與南台路口向北
新興分局,中山所,KC98E0531,南台路與中正四路口向南104蘇維
新興分局,中山所,KC98E0532,中正四路17號向南
新興分局,中山所,KC98E0533,南台路與南台路43巷口向西104蘇維
新興分局,中山所,KC98E0534,南台路43巷與自立二路口向東
新興分局,中山所,KC98E0536,自立橫路與南台路口向西
新興分局,中山所,KC98E0537,南台路9巷與南台路口向西104蘇維
新興分局,中山所,KC98E0538,南台路9巷35號對面向東
新興分局,中山所,KC98E0539,中正四路與自立二路口向南
新興分局,中山所,KC98E0540,自立橫路與南台路口向東
新興分局,中山所,KC98E0541,中山一路67之2號向西104蘇維
新興分局,中山所,KC98E0542,中正四路與南台路口向東
新興分局,中山所,KC98E0543,中正四路65號向南
新興分局,中山所,KC98E0544,自立二路與大同一路路口向北
新興分局,中山所,KC101A0001,南華路147號汕頭麵店旁向東
新興分局,中山所,KC101A0002,玉山銀行旁巷內教會宿舍後面  向西
新興分局,中山所,KC101A0003,林森一路與南華橫一路中華電信側門前向西
新興分局,中山所,KC101A0004,南華路與南華橫一路向東
新興分局,中山所,KC101A0005,南華路155號前向南
新興分局,中山所,KC101A0006,六合一路180巷52號前向南
新興分局,中山所,KC101A0007,中山一路222號前向北
新興分局,中山所,KC101A0008,六合一路180巷2號前向北
新興分局,中山所,KC101A0009,南華路132號前向北
新興分局,中山所,KC101A0010,南華路123號前向南
新興分局,中山所,KC101A0011,六合一路154之4號前向西
新興分局,中山所,KC101A0012,六合一路172號前向西
新興分局,中山所,KC101A0013,六合一路160之1號前向東
新興分局,中山所,KC101A0014,林森一路209號前向西北
新興分局,中山所,KC101A0015,七賢一路467號前向東
新興分局,中山所,KC101A0016,七賢一路539號前向東
新興分局,中山所,KC101A0017,林森一路203巷7號向西
新興分局,中山所,KC101A0018,林森一路203巷51號向東
新興分局,中山所,KC101A0019,興華路林森一路189號邊  向西
新興分局,中山所,KC101A0020,興華路78號前  向東
新興分局,中山所,KC101A0021,南華路83巷中正三路160號後  向西
新興分局,中山所,KC101A0022,南華路83巷天主教堂邊      向東
新興分局,中山所,KC101A0023,南華路89號  向南
新興分局,中山所,KC101A0024,南華路75號  向南
新興分局,中山所,KC101A0025,南華路98號  向西
新興分局,中山所,KC101A0026,南華路108之2號前  向北
新興分局,中山所,KC101A0027,六合一路173號前  向東
新興分局,中山所,KC101A0028,六合一路與南華路口  向南
新興分局,中山所,KC101A0029,中正三路與林森一路西北方  向南
新興分局,中山所,KC101A0030,六合一路與林森一路西北方  向南
新興分局,中山所,KC101A0031,南華路75號  向北
新興分局,中山所,KC101A0032,六合一路移民署前向東
新興分局,中山所,KC101A0033,中山一路與河南路口  向東
新興分局,中山所,KC101A0034,八德一路316號前  向西
新興分局,中山所,KC101A0035,南華路184號前向東
新興分局,中山所,KC101A0036,七賢一路528巷1號前燈柱  向北
新興分局,中山所,KC101A0037,八德一路370號前  向西
新興分局,中山所,KC101A0038,七賢一路與南華路口  向北
新興分局,中山所,KC101A0039,南華路207巷8號前  向東
新興分局,中山所,KC101A0040,南華與河南路口向南
新興分局,中山所,KC101A0041,林森一路與八德路口  向南
新興分局,中山所,KC101A0042,七賢一路土銀前向西
新興分局,中山所,KC101A0043,南華路195號旁對面向東
新興分局,中山所,KC101A0044,林森一路南華橫二路向西
新興分局,中山所,KC101A0045,林森一路南華路207巷  向西
新興分局,中山所,KC101A0046,林森一路與林森一路243巷  向西
新興分局,中山所,KC101A0047,林森一路243巷南華路  向東
新興分局,中山所,KC101A0048,八德一路與中山一路343號  向東
新興分局,中山所,KC101A0049,民主橫路9巷60號前    向西
新興分局,中山所,KC101A0050,民主路與自立二路口  向東
新興分局,中山所,KC101A0051,民主路與民主橫路口西北角  向西
新興分局,中山所,KC101A0052,明星街與自立二路口  向東
新興分局,中山所,KC101A0053,自立二路124號  向北
新興分局,中山所,KC101A0054,自立二路138號  向東
新興分局,中山所,KC101A0055,七賢二路與南台路口  向北
新興分局,中山所,KC101A0056,自立二路162巷口  向北
新興分局,中山所,KC101A0057,自立二路162巷口  向東
新興分局,中山所,KC101A0058,民主橫路41巷口    向南
新興分局,中山所,KC101A0059,七賢二路103號向西
新興分局,中山所,KC101A0060,七賢二路85號向東
新興分局,中山所,KC101A0061,明星街67號向西
新興分局,中山所,KC101A0062,南台路103號對面向西
新興分局,中山所,KC101A0063,自立二路120巷1號前向東
新興分局,中山所,KC101A0064,七賢二路與自立二路向東
新興分局,中山所,KC101A0065,自立二路1之2號  向北
新興分局,中山所,KC101A0066,民生二路46巷與大同一路口  向西
新興分局,中山所,KC101A0067,民生二路46巷口  向西
新興分局,中山所,KC101A0068,大同一路229巷6號對面大同國小牆邊  向南
新興分局,中山所,KC101A0069,大同一路229巷口  向東
新興分局,中山所,KC101A0070,新盛二街大同國小旁  向南
新興分局,中山所,KC101A0071,新盛街與大同一路口  向南
新興分局,中山所,KC101A0072,大同一路與瑞源路口  向東
新興分局,中山所,KC101A0073,大同路213號  向東
新興分局,中山所,KC101A0074,大同一路與自立二路口  向南
新興分局,中山所,KC101A0075,民生二路與大同一路229巷  向北
新興分局,中山所,KC101A0076,民生二路與民生二路36巷口  向北
新興分局,中山所,KC101A0077,大同一路188號  向西
新興分局,中山所,KC101A0078,大同一路183巷1號  向西
新興分局,中山所,KC101A0079,自立二路1之2號  向南
新興分局,中山所,KC101A0080,大同一路與自立二路  向南
新興分局,中山所,KC101A0081,南台路84號    向北
新興分局,中山所,KC101A0082,南台路128號  向北
新興分局,中山所,KC101A0083,民主橫路9巷60號  向東
新興分局,中山所,KC101A0084,六合一路1號康是美前  向西
新興分局,中山所,KC101A0085,民主橫路與七賢路口   向南
新興分局,中山所,KC101A0086,民主南台路口  向北
新興分局,中山所,KC101A0087,七賢二路與六合二路6巷口尊龍飯店前  向東
新興分局,中山所,KC101A0088,六合二路6巷43號  向南
新興分局,中山所,KC101A0089,六合二路6巷6號    向北
新興分局,中山所,KC101A0090,民主橫路41巷14號對面  向東
新興分局,中山所,KC101A0091,民主橫路41巷27號對面  向西
